tweet_id,text,task1,task2,ID
1133388798925189122,Deutsche rothaarige porno reife deutsche frauen porno. Deutsche politessen pornos porno deutsch inzets. https://t.co/xAag87Y0Jd,NOT,NONE,hasoc_2020_de_2684
1131117000279961600,"Lehrstück auch, wie in der linken Jammerfeministinnenbubble mit keinem Wort erwähnt wird und werden darf, was das d… https://t.co/B6PQKzl2tL",HOF,NONE,hasoc_2020_de_2440
1127134592517980161,RT @NDRinfo: Die deutsche Klimaaktivistin Luisa Neubauer wirft Kanzlerin Merkel wegen ihrer fehlenden Unterstützung für den europäischen Kl…,NOT,NONE,hasoc_2020_de_1042
1128897106171842560,"@ruhrbahn jeden Morgen eine neue „Fahrzeugstörung“, ihr seid einfach nur zum Kotzen",NOT,NONE,hasoc_2020_de_774
1123576753199484928,"@Junge_Freiheit Die Inkas hatten sich schon dämlich angestellt, bei den spanischen Eindringlingen, aber der Deutsche toppt dann doch alles",NOT,NONE,hasoc_2020_de_559
1128743783393312768,RT @technosteron: leute die 'boar' schreiben lassen sich bestimmt auch von ihren analphabetischen Vater in arsch ficken,HOF,NONE,hasoc_2020_de_1969
1134139256375525376,ich habe mir gerade diese dorne aus meinem arsch gezogen https://t.co/x40mpKgBZN,NOT,PRFN,hasoc_2020_de_2926
1132759271618293761,RT @Schrammi44: Er ist einfach der GOAT @Bouncaay https://t.co/bb9b5SWaKi,NOT,NONE,hasoc_2020_de_2994
1131107693123526657,KFM Deutsche Mittelstand AG: Deutscher Mittelstandsanleihen FONDS zeichnet neue Hörmann-Anleihe mit Mindest-Kupon 4… https://t.co/5HeRedf9cx,NOT,NONE,hasoc_2020_de_1574
1133093570229997573,"@mentalshards_ ich will jetzt nicht offenden oder so, ich will einfach nur, das die scheiße weniger wird",NOT,PRFN,hasoc_2020_de_1480
1126898700683501569,RT @SteinbachErika: Einfach skandalös! https://t.co/dC5NXFbviQ,NOT,NONE,hasoc_2020_de_3224
1128386596452085760,"""Das geht nicht.""
""Doch. Zugreifen!""

Ach halt doch die Fresse. Scheiß Werbung.",NOT,PRFN,hasoc_2020_de_410
1124322999551840256,"@holzraspler @Apple @Botometer Ja Touchbar da kotzen die meisten, unnötig wie sau
Xcode: seit 2003 aber egal… https://t.co/BQnklEeDMw",NOT,NONE,hasoc_2020_de_3441
1123489897548001281,XXL weights pack v1.1.1.0 FS19 https://t.co/zTpqTSGujE,NOT,NONE,hasoc_2020_de_1685
1128294539872165889,"@Kizer_Media @Zero_Aquila @tagesschau (1) https://t.co/oiwSZhwsPt
(2) https://t.co/l12aHaxDIy
(3) Agora ist etwas z… https://t.co/kHsKBubRsk",NOT,NONE,hasoc_2020_de_2215
1130919100451106819,deutsche lesben free deutsches ehepaar fickt porno deutscher porno ffentlichkeit free porno muschilecken deutsch https://t.co/GRHmv0F1J9,HOF,PRFN,hasoc_2020_de_3404
1129884743137398784,"RT @johannesgrunert: Armselig, peinlich und dumm 👎
#ESC2019 #Iceland https://t.co/sWesovTO9q",HOF,OFFN,hasoc_2020_de_1996
1127236438624473089,"@FlorianFOLI 1. Waren es 2
2. Musst du nicht, aber hat halt eh keinen Effekt
3. Ist der Sieg immernoch eher lucky als verdient",NOT,NONE,hasoc_2020_de_3198
1132021174773460992,"@joahlen Da ist nichts mehr zu retten. Hirn schon gar nicht. Wo nichts ist, kann nichts werden.",NOT,NONE,hasoc_2020_de_1803
1124358286218649602,süggest movies plz ty :&gt;,NOT,NONE,hasoc_2020_de_2391
1132029215279394818,@EinJanik @MHP2002 Ja ok du arsch,HOF,PRFN,hasoc_2020_de_1228
1131180745324728320,"@KONRAD1000 @LVZ Wenn man Ihnen eine Körperverletzung antut, wird man hoffentlich genauso handeln und Täter-Opfer R… https://t.co/cq2bdfZ3ly",HOF,NONE,hasoc_2020_de_2683
1128638657353650177,"RT @maxotte_says: ""#Merkel muss weg!"" darf bei #Kundgebug in #Wuppertal nicht gerufen werden. Willkommen in der dunklen Zeit! #Repression #…",NOT,NONE,hasoc_2020_de_1618
1125703697332350981,"@heuteshow Und linke Journalisten wollen die humanitäre Aufnahme von Flüchtlingen, halt nur nicht in ihrer Wohngege… https://t.co/qr9WNCNZtP",NOT,NONE,hasoc_2020_de_2427
1131536384542629889,@zeitonline was haben die beiden Kopalken nur im Kopf?,NOT,NONE,hasoc_2020_de_1804
1132713729852870661,"@tagesschau Die Hasselfeld, Wahlkampfhelferin der Grünen. https://t.co/FLQKHv0jFb",NOT,NONE,hasoc_2020_de_1970
1131482508711874560,"Gescher -  Christdemokrat möchte, dass Gänse aus dem Naturschutzgebiet Berkeltal verschwinden. Dreck.… https://t.co/b8060gV3hK",NOT,NONE,hasoc_2020_de_776
1133037848913960963,"Desnudas xxx gratis, deutsche schwgerin porno! Italiani porno gratis, canal chat gratis. https://t.co/wJWFnVuhVe",HOF,NONE,hasoc_2020_de_2755
1127483176929116160,"@SatireUNfreiesD So ist es, der Islam ist keine Religion des Friedens! https://t.co/NSyjYNJ477",HOF,HATE,hasoc_2020_de_3043
1127626345285136384,@hubertus_zulu @nilzee011 @LinoTobi @dieserRoman Wie dumm kann man eigentlich sein?,NOT,NONE,hasoc_2020_de_2820
1130853572814393345,porno estar gratis unterwrfige deutsche frauen porno mutter fisten sexy mdchen in hotpants https://t.co/FvAKmqCJCu,HOF,PRFN,hasoc_2020_de_759
1123649289463451648,@LianePoost @welt Ich beziehe mich nicht nur auf die DDR. Sozialistische System waren schon immer unproduktiv und w… https://t.co/lrQeZvtXF6,NOT,NONE,hasoc_2020_de_2431
